2016-11-03 20:37:44 ===== Starting: clopgtp =====
2016-11-03 20:37:44 Reading clopgtp-old.dat...
2016-11-03 20:37:44 Wrong N (got 15, expected 9)
2016-11-03 20:39:20 Run
2016-11-04 00:00:10 id = 4 (cpu5); Seed = 105; Starting new sample
2016-11-04 00:01:30 id = 5 (cpu6); Seed = 98; Done (0)
2016-11-04 00:01:30 id = 5 (cpu6); Seed = 106; Starting new sample
2016-11-04 00:06:30 id = 6 (cpu7); Seed = 100; Done (0)
2016-11-04 00:06:30 id = 6 (cpu7); Seed = 107; Starting new sample
2016-11-04 00:09:24 id = 2 (cpu3); Seed = 101; Done (0)
2016-11-04 00:09:24 id = 2 (cpu3); Seed = 108; Starting new sample
2016-11-04 00:10:49 id = 3 (cpu4); Seed = 102; Done (0)
2016-11-04 00:10:49 id = 3 (cpu4); Seed = 109; Starting new sample
2016-11-04 00:11:22 id = 1 (cpu2); Seed = 104; Done (1)
2016-11-04 00:11:22 id = 1 (cpu2); Seed = 110; Starting new sample
2016-11-04 00:13:50 id = 0 (cpu1); Seed = 103; Done (0)
2016-11-04 00:13:50 id = 0 (cpu1); Seed = 111; Starting new sample
2016-11-04 00:14:23 id = 4 (cpu5); Seed = 105; Done (0)
2016-11-04 00:14:23 id = 4 (cpu5); Seed = 112; Starting new sample
2016-11-04 00:15:42 id = 5 (cpu6); Seed = 106; Done (0)
2016-11-04 00:15:42 id = 5 (cpu6); Seed = 113; Starting new sample
2016-11-04 00:17:53 id = 1 (cpu2); Seed = 110; Done (0)
2016-11-04 00:17:53 id = 1 (cpu2); Seed = 114; Starting new sample
2016-11-04 00:19:37 id = 6 (cpu7); Seed = 107; Done (1)
2016-11-04 00:19:37 id = 6 (cpu7); Seed = 115; Starting new sample
2016-11-04 00:22:06 id = 2 (cpu3); Seed = 108; Done (1)
2016-11-04 00:22:06 id = 2 (cpu3); Seed = 116; Starting new sample
2016-11-04 00:24:06 id = 3 (cpu4); Seed = 109; Done (0)
2016-11-04 00:24:06 id = 3 (cpu4); Seed = 117; Starting new sample
2016-11-04 00:27:41 id = 4 (cpu5); Seed = 112; Done (1)
2016-11-04 00:27:41 id = 4 (cpu5); Seed = 118; Starting new sample
2016-11-04 00:28:28 id = 0 (cpu1); Seed = 111; Done (0)
2016-11-04 00:28:28 id = 0 (cpu1); Seed = 119; Starting new sample
2016-11-04 00:30:51 id = 5 (cpu6); Seed = 113; Done (0)
2016-11-04 00:30:51 id = 5 (cpu6); Seed = 120; Starting new sample
2016-11-04 00:32:36 id = 1 (cpu2); Seed = 114; Done (0)
2016-11-04 00:32:36 id = 1 (cpu2); Seed = 121; Starting new sample
2016-11-04 00:36:06 id = 6 (cpu7); Seed = 115; Done (0)
2016-11-04 00:36:06 id = 6 (cpu7); Seed = 122; Starting new sample
2016-11-04 00:36:33 id = 3 (cpu4); Seed = 117; Done (0)
2016-11-04 00:36:33 id = 3 (cpu4); Seed = 123; Starting new sample
2016-11-04 00:38:17 id = 2 (cpu3); Seed = 116; Done (0)
2016-11-04 00:38:17 id = 2 (cpu3); Seed = 124; Starting new sample
2016-11-04 00:41:52 id = 4 (cpu5); Seed = 118; Done (0)
2016-11-04 00:41:52 id = 4 (cpu5); Seed = 125; Starting new sample
2016-11-04 00:44:07 id = 0 (cpu1); Seed = 119; Done (0)
2016-11-04 00:44:07 id = 0 (cpu1); Seed = 126; Starting new sample
2016-11-04 00:45:19 id = 2 (cpu3); Seed = 124; Done (1)
2016-11-04 00:45:19 id = 2 (cpu3); Seed = 127; Starting new sample
2016-11-04 00:46:00 id = 5 (cpu6); Seed = 120; Done (0)
2016-11-04 00:46:00 id = 5 (cpu6); Seed = 128; Starting new sample
2016-11-04 00:46:08 id = 1 (cpu2); Seed = 121; Done (0)
2016-11-04 00:46:08 id = 1 (cpu2); Seed = 129; Starting new sample
2016-11-04 00:49:41 id = 3 (cpu4); Seed = 123; Done (1)
2016-11-04 00:49:41 id = 3 (cpu4); Seed = 130; Starting new sample
2016-11-04 00:52:07 id = 6 (cpu7); Seed = 122; Done (0)
2016-11-04 00:52:07 id = 6 (cpu7); Seed = 131; Starting new sample
2016-11-04 00:56:14 id = 4 (cpu5); Seed = 125; Done (0)
2016-11-04 00:56:14 id = 4 (cpu5); Seed = 132; Starting new sample
2016-11-04 00:58:33 id = 2 (cpu3); Seed = 127; Done (0)
2016-11-04 00:58:33 id = 2 (cpu3); Seed = 133; Starting new sample
2016-11-04 00:59:08 id = 0 (cpu1); Seed = 126; Done (0)
2016-11-04 00:59:08 id = 0 (cpu1); Seed = 134; Starting new sample
2016-11-04 01:00:42 id = 5 (cpu6); Seed = 128; Done (0)
2016-11-04 01:00:42 id = 5 (cpu6); Seed = 135; Starting new sample
2016-11-04 01:00:57 id = 1 (cpu2); Seed = 129; Done (0)
2016-11-04 01:00:58 id = 1 (cpu2); Seed = 136; Starting new sample
2016-11-04 01:04:57 id = 6 (cpu7); Seed = 131; Done (0)
2016-11-04 01:04:57 id = 6 (cpu7); Seed = 137; Starting new sample
2016-11-04 01:05:06 id = 3 (cpu4); Seed = 130; Done (0)
2016-11-04 01:05:06 id = 3 (cpu4); Seed = 138; Starting new sample
2016-11-04 01:09:03 id = 4 (cpu5); Seed = 132; Done (0)
2016-11-04 01:09:03 id = 4 (cpu5); Seed = 139; Starting new sample
2016-11-04 01:12:49 id = 5 (cpu6); Seed = 135; Done (1)
2016-11-04 01:12:49 id = 5 (cpu6); Seed = 140; Starting new sample
2016-11-04 01:13:05 id = 0 (cpu1); Seed = 134; Done (1)
2016-11-04 01:13:05 id = 0 (cpu1); Seed = 141; Starting new sample
2016-11-04 01:13:54 id = 1 (cpu2); Seed = 136; Done (1)
2016-11-04 01:13:54 id = 1 (cpu2); Seed = 142; Starting new sample
2016-11-04 01:13:58 id = 2 (cpu3); Seed = 133; Done (0)
2016-11-04 01:13:58 id = 2 (cpu3); Seed = 143; Starting new sample
2016-11-04 01:16:20 id = 3 (cpu4); Seed = 138; Done (0)
2016-11-04 01:16:20 id = 3 (cpu4); Seed = 144; Starting new sample
2016-11-04 01:19:49 id = 6 (cpu7); Seed = 137; Done (0)
2016-11-04 01:19:49 id = 6 (cpu7); Seed = 145; Starting new sample
2016-11-04 01:22:56 id = 4 (cpu5); Seed = 139; Done (0)
2016-11-04 01:22:56 id = 4 (cpu5); Seed = 146; Starting new sample
2016-11-04 01:27:10 id = 5 (cpu6); Seed = 140; Done (1)
2016-11-04 01:27:10 id = 5 (cpu6); Seed = 147; Starting new sample
2016-11-04 01:27:48 id = 0 (cpu1); Seed = 141; Done (1)
2016-11-04 01:27:48 id = 0 (cpu1); Seed = 148; Starting new sample
2016-11-04 01:28:37 id = 1 (cpu2); Seed = 142; Done (0)
2016-11-04 01:28:37 id = 1 (cpu2); Seed = 149; Starting new sample
2016-11-04 01:29:54 id = 3 (cpu4); Seed = 144; Done (0)
2016-11-04 01:29:54 id = 3 (cpu4); Seed = 150; Starting new sample
2016-11-04 01:30:07 id = 2 (cpu3); Seed = 143; Done (0)
2016-11-04 01:30:07 id = 2 (cpu3); Seed = 151; Starting new sample
2016-11-04 01:34:10 id = 6 (cpu7); Seed = 145; Done (1)
2016-11-04 01:34:10 id = 6 (cpu7); Seed = 152; Starting new sample
2016-11-04 01:37:56 id = 4 (cpu5); Seed = 146; Done (0)
2016-11-04 01:37:56 id = 4 (cpu5); Seed = 153; Starting new sample
2016-11-04 01:41:05 id = 5 (cpu6); Seed = 147; Done (0)
